iter	Passed	Remaining
0	4788	952878
1	8472	838825
2	11437	751087
3	14456	708389
4	17405	678827
5	20593	665871
6	23473	647198
7	26452	634852
8	29407	624098
9	32305	613807
10	35298	606496
11	38406	601701
12	39992	575278
13	42872	569589
14	45748	564237
15	49415	568272
16	52305	563049
17	55266	558804
18	58052	553022
19	60974	548768
20	63922	544867
21	66655	539305
22	69461	534553
23	72492	531614
24	75451	528162
25	78262	523753
26	81463	521972
27	84373	518293
28	87278	514644
29	90192	511091
30	92983	506907
31	95859	503264
32	98526	498602
33	101495	495534
34	104623	493224
35	107542	489914
36	110848	488330
37	113802	485156
38	116807	482206
39	119533	478135
40	122403	474687
41	125189	470952
42	128087	467667
43	131057	464659
44	133920	461283
45	136796	457971
46	139868	455317
47	143120	453213
48	145902	449619
49	148794	446384
50	152184	444618
51	155506	442594
52	158693	440149
53	161968	437915
54	165677	436786
55	169847	436750
56	170686	428214
57	174584	427431
58	178157	425765
59	182741	426397
60	188189	428824
61	193094	429791
62	198122	430837
63	204427	434407
64	213453	443326
65	217078	440735
66	221188	439076
67	225141	437039
68	228574	433960
69	231773	430436
70	236351	429426
71	239912	426510
72	245379	426892
73	250804	427046
74	255560	425933
75	259622	423594
76	266368	425497
77	271344	424410
78	275523	422004
79	279310	418966
80	283149	415985
81	285974	411524
82	289061	407471
83	292561	404014
84	296615	401303
85	299471	396973
86	303266	393898
87	306326	389869
88	309844	386435
89	313110	382690
90	316308	378875
91	319105	374602
92	322025	370502
93	325213	366729
94	326629	361011
95	329514	356973
96	332708	353288
97	335747	349451
98	338662	345503
99	342305	342305
1	217294	208773
102	219722	206923
103	222530	205412
104	225018	203587
105	227074	201367
106	229366	199355
107	231388	197108
108	234628	195882
109	237053	193953
110	239327	191893
111	242475	190516
112	245525	189032
113	249057	187885
114	252657	186746
115	256075	185434
116	258642	183481
117	261608	181795
118	266126	181144
119	269400	179600
120	272033	177608
121	274760	175666
122	277089	173462
123	279541	171332
124	281798	169078
125	283862	166712
126	285910	164342
127	287696	161829
128	290017	159621
129	292141	157307
130	294941	155350
131	297312	153160
132	299101	150675
133	301376	148439
134	303598	146176
135	305558	143792
136	307376	141348
137	309815	139192
138	311834	136848
139	314040	134588
140	315925	132195
141	317821	129814
142	319666	127419
143	321563	125052
144	323562	122730
145	325657	120448
146	327472	118068
147	329163	115651
148	331009	113298
149	333121	111040
150	335006	108710
151	336823	106365
152	339096	104166
153	341438	101988
154	343970	99862
339062	95633
156	341212	93453
157	343700	91363
327761	84517
159	329438	82359
160	331186	80225
161	333287	78178
162	334988	76040
163	336691	73907
164	338547	71813
165	340269	69693
166	342953	67769
