N,P,K,temperature,humidity,ph,rainfall,label,soil_type
116.1,66.6,84.7,29.83,62.33,7.23,1536.6,sugarcane,alluvial soil
76.9,54.5,57.1,23.01,64.76,6.32,856.9,chilli,black soil
29.4,40.7,29.7,29.92,51.6,6.68,796.1,pigeonpeas,black soil
109.3,60.9,68.7,32.45,56.8,7.4,765.3,pomegranate,red soil
53.2,34.1,39.0,29.39,48.28,7.77,554.9,bajra,red soil
25.3,22.0,27.1,31.59,60.78,6.65,703.6,greengram,alluvial soil
52.6,28.3,31.6,30.72,59.37,7.63,609.9,bajra,red soil
17.1,24.4,28.3,29.38,61.98,6.63,742.6,greengram,black soil
100.7,45.9,59.3,20.19,66.82,6.69,808.7,tomato,alluvial soil
103.5,51.4,2.1,19.44,92.78,6.59,1029.1,cotton,red soil
49.3,25.0,38.8,29.08,51.03,7.05,610.8,bajra,alluvial soil
54.9,35.0,32.2,29.02,44.71,7.76,592.4,bajra,red soil
70.3,47.6,10.7,26.2,62.56,9.15,2497.4,grapes,black soil
88.5,42.1,42.7,29.29,62.83,7.61,761.3,cotton,red soil
4.4,56.6,51.2,40.46,59.76,8.38,201.3,soybean,alluvial soil
105.7,69.9,88.0,26.92,69.52,6.68,838.3,grapes,black soil
66.6,40.3,54.2,27.84,68.73,7.25,713.4,cotton,black soil
17.6,31.3,16.5,31.71,50.46,6.71,562.8,blackgram,red soil
20.2,32.9,28.5,26.64,68.88,7.09,677.8,greengram,alluvial soil
94.3,44.0,48.2,27.34,66.45,6.75,806.8,chilli,red soil
62.4,43.2,54.4,19.48,53.71,6.0,497.0,wheat,black soil
104.2,43.3,62.9,24.85,61.79,6.81,790.5,onion,alluvial soil
49.4,38.7,37.1,23.34,63.56,7.23,658.9,ragi,red soil
112.3,51.1,40.8,14.64,21.76,9.25,1412.5,safflower,alluvial soil
108.4,53.4,87.9,25.52,61.87,7.26,751.6,grapes,red soil
39.6,20.1,31.8,32.22,57.3,6.33,441.9,bajra,red soil
52.1,27.9,34.9,31.14,42.61,6.56,440.6,bajra,red soil
27.2,34.4,21.5,31.6,64.34,6.88,640.1,blackgram,red soil
20.3,36.5,30.0,28.41,47.59,7.11,420.4,chickpea,black soil
99.5,35.4,64.8,25.4,59.8,6.55,951.8,chilli,red soil
50.1,33.1,40.1,19.65,36.08,7.5,462.4,safflower,red soil
