N,P,K,temperature,humidity,ph,rainfall,label,soil_type
26.2,24.2,27.8,31.58,60.12,6.71,664.3,blackgram,red soil
16.4,26.4,18.4,25.39,56.6,7.27,613.3,blackgram,red soil
28.1,23.5,16.9,26.52,55.84,7.03,742.0,blackgram,black soil
28.5,28.5,16.7,29.42,68.31,6.11,710.2,blackgram,red soil
17.9,20.7,21.0,27.25,67.95,7.23,599.0,blackgram,red soil
51.9,59.6,13.5,15.96,39.45,5.58,566.2,blackgram,red soil
23.4,21.4,23.5,29.77,69.0,6.15,720.7,blackgram,red soil
24.1,24.7,17.8,30.4,53.57,6.52,703.0,blackgram,black soil
72.0,28.6,88.3,22.01,57.16,7.01,1132.2,blackgram,alluvial soil
20.5,30.2,26.8,34.27,59.32,6.28,524.4,blackgram,red soil
