N,P,K,temperature,humidity,ph,rainfall,label,soil_type
20.1,31.2,22.9,25.31,41.94,6.43,564.7,chickpea,red soil
23.7,34.8,32.6,24.0,42.5,7.87,608.5,chickpea,black soil
30.0,39.2,20.9,26.81,57.79,6.74,610.3,chickpea,red soil
28.3,30.4,33.7,29.66,53.77,7.29,412.9,chickpea,black soil
26.8,27.7,24.8,29.25,55.29,7.53,463.9,chickpea,red soil
33.2,31.5,34.1,23.89,49.27,6.62,412.0,chickpea,black soil
22.7,38.4,29.6,29.96,45.44,6.35,418.2,chickpea,red soil
23.1,34.7,20.0,25.17,57.76,7.35,446.7,chickpea,red soil
21.7,29.3,26.5,23.36,48.18,7.68,467.4,chickpea,black soil
27.5,28.2,23.0,22.97,49.34,6.81,553.2,chickpea,black soil
