N,P,K,temperature,humidity,ph,rainfall,label,soil_type
79.4,9.5,43.5,36.81,88.26,8.12,1186.7,cotton,red soil
3.1,23.8,39.7,33.45,88.72,5.7,1957.8,cotton,laterite soil
70.7,38.6,57.9,33.82,62.31,6.7,897.2,cotton,black soil
85.3,51.7,46.2,28.66,50.2,7.2,827.1,cotton,black soil
10.4,20.4,16.7,26.61,46.01,8.96,1072.6,cotton,alluvial soil
66.4,44.0,56.0,32.95,64.44,7.76,581.4,cotton,red soil
88.9,52.7,56.3,31.77,59.72,6.05,615.4,cotton,red soil
65.4,38.9,51.7,27.65,68.13,7.03,824.6,cotton,black soil
78.9,42.9,56.1,34.27,56.52,7.59,647.9,cotton,black soil
76.8,50.4,54.2,27.94,50.01,6.57,930.3,cotton,black soil
