N,P,K,temperature,humidity,ph,rainfall,label,soil_type
27.0,31.2,20.6,27.2,66.45,7.28,736.8,greengram,alluvial soil
26.6,24.7,21.9,32.92,69.77,6.81,661.0,greengram,black soil
2.3,15.6,94.8,15.27,67.11,6.92,958.5,greengram,black soil
25.0,21.6,23.9,26.4,69.42,6.66,684.4,greengram,alluvial soil
21.6,29.0,20.4,28.56,67.44,6.92,795.8,greengram,alluvial soil
19.9,20.4,24.2,31.42,64.11,6.74,577.0,greengram,alluvial soil
107.8,11.2,74.2,26.26,20.65,8.13,2339.9,greengram,alluvial soil
28.4,24.2,23.1,27.93,61.19,6.76,513.9,greengram,alluvial soil
28.9,27.6,25.1,30.28,56.26,7.11,518.9,greengram,black soil
28.6,26.4,24.8,25.67,51.82,6.97,765.2,greengram,alluvial soil
