N,P,K,temperature,humidity,ph,rainfall,label,soil_type
118.8,54.4,60.6,22.05,57.94,7.34,580.4,jowar,red soil
43.6,39.8,39.6,30.98,51.18,6.54,512.0,jowar,black soil
44.5,34.6,40.0,26.3,64.96,8.3,654.8,jowar,black soil
47.3,26.4,34.2,26.29,57.56,8.08,522.9,jowar,red soil
51.9,38.8,30.5,28.96,59.72,8.08,541.1,jowar,red soil
46.8,26.7,32.3,26.38,57.28,7.11,533.3,jowar,black soil
60.3,34.3,75.5,41.66,73.85,7.85,1508.0,jowar,alluvial soil
97.0,5.0,47.7,38.88,83.0,7.33,273.1,jowar,laterite soil
48.2,33.4,42.9,28.65,47.86,7.34,475.7,jowar,red soil
101.3,61.8,87.2,39.97,66.54,7.82,1219.8,jowar,black soil
