N,P,K,temperature,humidity,ph,rainfall,label,soil_type
18.9,25.3,25.1,20.33,49.97,6.75,420.5,lentil,black soil
17.7,29.9,23.1,23.84,54.68,6.43,472.6,lentil,black soil
22.7,30.9,22.6,22.44,47.69,6.87,442.8,lentil,alluvial soil
30.7,66.0,52.9,20.25,30.33,8.23,1680.5,lentil,alluvial soil
0.8,13.7,48.8,11.43,38.26,6.86,808.6,lentil,black soil
23.3,25.1,29.8,18.08,59.43,7.02,470.8,lentil,black soil
18.9,33.1,25.0,20.44,63.98,6.44,495.6,lentil,black soil
3.0,19.1,96.1,22.38,72.2,5.4,1093.2,lentil,red soil
15.7,34.7,23.5,22.66,59.44,6.15,589.9,lentil,black soil
61.2,36.1,1.0,23.71,83.7,5.28,2408.2,lentil,laterite soil
