N,P,K,temperature,humidity,ph,rainfall,label,soil_type
84.6,50.2,52.2,25.88,59.6,5.51,992.3,maize,black soil
86.9,55.0,56.8,24.74,57.3,5.94,653.5,maize,black soil
75.1,58.1,63.8,29.12,67.83,7.21,751.5,maize,red soil
76.8,43.3,63.9,23.23,57.99,6.1,636.7,maize,red soil
93.8,50.4,60.1,24.74,63.52,6.97,998.2,maize,alluvial soil
81.5,56.3,63.6,24.46,57.93,5.79,995.3,maize,alluvial soil
92.6,41.0,64.9,29.37,72.18,6.29,934.2,maize,black soil
83.6,50.6,55.9,29.97,68.28,7.26,917.6,maize,black soil
95.8,43.8,47.6,25.06,66.57,6.15,693.8,maize,alluvial soil
94.9,55.8,52.2,22.5,61.73,6.93,659.5,maize,red soil
