N,P,K,temperature,humidity,ph,rainfall,label,soil_type
99.3,55.9,74.2,30.56,53.62,6.89,531.7,pomegranate,black soil
85.3,69.7,76.4,32.29,48.04,7.35,617.0,pomegranate,black soil
84.7,51.2,82.8,34.29,47.32,7.06,605.4,pomegranate,red soil
80.7,60.9,85.6,27.55,53.06,7.39,770.8,pomegranate,red soil
86.0,69.3,89.4,26.31,52.32,6.94,757.9,pomegranate,red soil
93.1,68.3,89.0,28.05,47.76,6.74,572.8,pomegranate,black soil
88.7,68.0,89.8,32.97,51.78,6.86,667.9,pomegranate,black soil
99.3,51.2,64.4,34.26,43.77,6.66,612.3,pomegranate,red soil
95.4,61.4,75.8,31.02,50.55,7.37,704.5,pomegranate,red soil
99.8,52.1,77.2,28.75,44.67,7.18,618.5,pomegranate,red soil
