N,P,K,temperature,humidity,ph,rainfall,label,soil_type
46.0,44.7,47.8,24.3,54.51,7.18,674.1,ragi,laterite soil
48.5,34.4,39.3,23.4,58.84,7.18,823.3,ragi,laterite soil
64.8,36.2,38.3,29.75,69.34,7.31,647.6,ragi,red soil
47.2,35.0,37.3,21.69,62.37,7.15,976.8,ragi,red soil
57.2,35.0,45.9,25.58,57.26,6.75,936.0,ragi,red soil
40.0,41.3,46.7,29.32,59.86,7.15,998.4,ragi,red soil
45.4,31.1,37.5,25.64,61.73,6.69,859.9,ragi,laterite soil
57.0,45.0,41.7,23.13,59.28,7.17,825.8,ragi,laterite soil
40.9,31.5,46.1,25.26,61.01,7.39,776.1,ragi,red soil
61.1,42.9,43.6,20.4,55.98,6.27,823.4,ragi,red soil
