N,P,K,temperature,humidity,ph,rainfall,label,soil_type
50.6,35.6,31.9,15.12,41.44,7.87,633.2,safflower,red soil
55.1,35.1,36.9,17.85,47.57,7.13,436.5,safflower,black soil
53.8,74.6,1.3,42.04,82.5,8.33,1417.7,safflower,laterite soil
49.3,30.1,44.4,21.95,43.55,7.44,430.3,safflower,black soil
44.9,39.4,33.6,19.77,35.9,7.0,572.5,safflower,black soil
41.2,37.0,32.5,17.46,53.61,6.54,438.0,safflower,black soil
50.4,26.2,42.2,18.38,51.26,7.6,541.1,safflower,black soil
57.7,29.5,39.3,19.9,52.27,7.04,512.6,safflower,red soil
56.0,36.1,36.4,16.09,47.97,6.73,546.1,safflower,black soil
46.7,25.0,43.9,24.82,41.8,7.24,635.2,safflower,red soil
