N,P,K,temperature,humidity,ph,rainfall,label,soil_type
69.9,48.6,39.2,22.44,49.08,7.28,593.0,sunflower,red soil
101.0,28.9,65.8,12.92,90.56,7.08,2286.4,sunflower,laterite soil
137.1,64.7,2.3,29.12,23.35,8.94,2393.0,sunflower,laterite soil
59.6,35.6,54.3,29.62,43.35,6.64,765.5,sunflower,alluvial soil
98.8,56.4,83.0,25.2,78.2,5.24,2415.4,sunflower,laterite soil
61.0,34.6,49.0,23.59,49.26,6.57,573.7,sunflower,red soil
67.6,32.6,49.5,20.88,47.4,7.46,588.2,sunflower,red soil
102.7,61.7,38.1,43.07,66.46,7.05,1475.9,sunflower,alluvial soil
63.4,43.5,49.6,29.76,42.47,7.99,542.8,sunflower,alluvial soil
55.5,31.6,36.3,29.97,51.79,7.44,671.0,sunflower,black soil
