N,P,K,temperature,humidity,ph,rainfall,label,soil_type
73.4,75.6,77.2,32.3,62.04,7.91,1405.3,tomato,alluvial soil
117.1,55.3,71.7,29.38,65.52,6.45,882.6,tomato,red soil
109.0,47.5,68.1,25.13,60.81,6.08,638.2,tomato,alluvial soil
43.1,42.3,87.5,28.17,28.65,6.32,769.3,tomato,alluvial soil
5.3,38.3,32.0,44.8,75.94,9.24,442.6,tomato,alluvial soil
131.0,57.8,72.1,43.56,56.82,5.42,778.4,tomato,alluvial soil
92.8,64.3,73.0,21.57,61.3,6.53,646.1,tomato,alluvial soil
94.8,53.0,60.7,29.75,61.75,6.0,993.5,tomato,red soil
117.1,58.9,59.1,20.77,71.45,6.39,971.8,tomato,red soil
97.6,55.9,70.5,22.89,75.68,6.93,976.3,tomato,alluvial soil
