N,P,K,temperature,humidity,ph,rainfall,label,soil_type
60.4,45.1,42.8,19.17,64.39,6.23,478.5,wheat,black soil
64.6,36.1,40.6,23.35,51.31,7.06,597.8,wheat,alluvial soil
64.9,45.6,53.5,23.65,52.82,6.45,480.3,wheat,alluvial soil
61.1,44.4,49.8,17.24,58.49,7.27,624.0,wheat,black soil
67.0,41.1,40.5,20.23,65.28,7.44,487.9,wheat,black soil
64.6,38.1,51.2,23.58,52.67,7.29,492.4,wheat,alluvial soil
52.7,13.1,36.3,27.15,45.75,6.13,2345.9,wheat,alluvial soil
50.1,54.0,29.1,18.65,22.53,8.37,2301.1,wheat,alluvial soil
60.1,45.7,45.2,24.92,61.22,6.36,636.5,wheat,black soil
60.5,43.1,44.0,15.12,52.41,6.12,509.6,wheat,alluvial soil
