N,P,K,temperature,humidity,ph,rainfall,label,soil_type
2,120,203,23.12652652,94.71203306,5.893492998999999,108.62118329999998,apple,silty soil
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple,silty soil
35,138,200,21.19909519,90.80819418,5.67130617,103.6838922,apple,silty soil
15,123,204,22.52709326,92.54780429,6.365972687999999,115.3830068,apple,silty soil
12,129,205,22.36238282,91.15761594,6.119432215,118.68327250000002,apple,silty soil
17,136,196,23.87192332,90.49939035,5.882155987999999,103.0548094,apple,silty soil
40,120,197,23.80593812,92.48879468,5.889480679,119.6335548,apple,silty soil
21,137,196,23.6119202,91.70293849,5.812781806,123.5900822,apple,silty soil
24,128,196,22.75088787,90.69489172,5.521466996,110.4317855,apple,silty soil
35,142,203,21.17089176,90.23730166,5.895319002000001,123.6495149,apple,silty soil
