N,P,K,temperature,humidity,ph,rainfall,label,soil_type
108,94,47,27.35911627,84.54625006,6.387431382999999,90.81250457,banana,alluvial soil
95,75,50,28.08166093,75.26429821,5.623615687000001,118.2761894,banana,alluvial soil
117,86,53,25.19640218,83.55829874,5.703381727999999,115.8586081,banana,alluvial soil
93,91,47,27.84767901,83.31110751,6.101241579,117.2878912,banana,alluvial soil
106,85,53,27.1994597,78.80860679999998,5.91505509,99.72430835,banana,alluvial soil
114,79,51,26.21009246,82.34429458,6.313197204,112.0700033,banana,alluvial soil
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana,alluvial soil
97,74,45,26.47522633,78.51833782,5.677719902000001,113.1161095,banana,alluvial soil
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana,alluvial soil
112,87,48,27.19711623,77.39706290000002,6.200111067999999,99.46950465,banana,alluvial soil
