N,P,K,temperature,humidity,ph,rainfall,label,soil_type
56,76,16,28.27265858,61.18956161,7.5131510760000015,63.29900785,blackgram,clay loam
23,57,19,32.83963757,67.99803573,7.251000789,73.40452716,blackgram,clay loam
53,74,15,29.43463808,64.94329356,7.517097,72.17818157,blackgram,clay loam
27,62,24,28.63005477,66.770943,7.353876754,62.2737345,blackgram,clay loam
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram,clay loam
44,77,21,32.63918668,61.3009051,7.326980454,61.83876146,blackgram,clay loam
57,60,17,26.23773129,67.88521396,7.504608385,73.58663968,blackgram,clay loam
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram,clay loam
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram,clay loam
20,68,17,30.11873003,60.11680815,6.578714842999999,71.72980375,blackgram,clay loam
