N,P,K,temperature,humidity,ph,rainfall,label,soil_type
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea,sandy loam
52,56,85,20.118744600000007,14.44228303,6.81712422,88.68168643,chickpea,sandy loam
42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,chickpea,sandy loam
47,79,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea,sandy loam
45,61,78,19.48649305,16.06240074,6.489389282,81.52842690000001,chickpea,sandy loam
58,70,84,20.6543203,16.60820843,6.231049027999999,74.6631118,chickpea,sandy loam
20,79,77,18.54988627,16.02542689,7.64867466,76.32565249,chickpea,sandy loam
35,66,81,19.37101121,15.77458129,6.138243973,85.24819851,chickpea,sandy loam
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,chickpea,sandy loam
49,71,76,19.71098332,17.63879418,6.613072145,85.57925437,chickpea,sandy loam
