N,P,K,temperature,humidity,ph,rainfall,label,soil_type
19,30,30,29.56549169,91.40896307,5.826381164,224.83157290000003,coconut,alluvial soil
20,28,26,26.37978453,91.49882979,5.547594847,167.0470997,coconut,alluvial soil
10,24,27,27.57283516,94.90485697,5.7084096010000005,145.9298935,coconut,alluvial soil
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut,alluvial soil
17,11,32,28.74013335,93.39676499,5.620733794,156.76508230000005,coconut,alluvial soil
31,6,26,29.12859129,91.30924833,5.741367375,157.2388553,coconut,alluvial soil
31,20,26,25.56567803,97.61361544,6.443168642000001,199.7936345,coconut,alluvial soil
1,6,35,27.02269204,95.71935435,6.231662767,147.16824590000004,coconut,alluvial soil
14,23,25,26.18552389,96.96637916,5.6121227970000005,135.4186222,coconut,alluvial soil
32,20,35,26.52166434,98.38227669,5.588655387,144.6261698,coconut,alluvial soil
