N,P,K,temperature,humidity,ph,rainfall,label,soil_type
89,28,33,26.44414097,53.83876189,6.9932360010000005,175.3723314,coffee,red soil
109,23,25,25.11711046,68.48030408,7.00733163,194.8773479,coffee,red soil
100,24,28,25.59535262,57.72920846,7.101661011,195.7733251,coffee,red soil
107,31,31,23.17124551,52.97841162,6.766184468,153.12016440000005,coffee,red soil
112,17,28,27.62975458,61.26002598,6.777417989,196.6492664,coffee,red soil
107,21,26,26.45288458,55.32222678,7.235070264,144.68613359999995,coffee,red soil
103,40,30,27.30901814,55.196224,6.3483162570000005,141.48316440000005,coffee,red soil
119,30,28,26.35770906,64.57578034,6.5052036960000015,163.62694960000005,coffee,red soil
118,18,32,27.6496114,51.11044023,6.351823783,122.8392822,coffee,red soil
118,31,34,27.54823036,62.88179198,6.123796057000001,181.4170812,coffee,red soil
