N,P,K,temperature,humidity,ph,rainfall,label,soil_type
127,53,24,22.21506982,76.17851932,6.127939627999999,70.40557612,cotton,black soil
107,51,22,24.86560781,78.22080815,5.983075895,79.56866268,cotton,black soil
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton,black soil
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,cotton,black soil
111,40,25,24.48469200000001,84.44932014,6.187455798999999,90.94342484,cotton,black soil
100,41,22,22.4204752,84.55794703,7.318802162000001,93.46595573,cotton,black soil
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,cotton,black soil
102,45,16,23.65629976,77.52425987,7.2942193,74.8984994,cotton,black soil
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,cotton,black soil
105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,cotton,black soil
