N,P,K,temperature,humidity,ph,rainfall,label,soil_type
32,130,196,40.66012294,81.24995984,6.372959542,74.03030056,grapes,black soil
15,140,195,13.28504331,83.54193816,5.69945282,65.80006004,grapes,black soil
32,121,199,39.37102553,81.25353895,6.129812716,74.08101744,grapes,black soil
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,grapes,black soil
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,grapes,black soil
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,grapes,black soil
22,133,201,23.81995682,80.12211649,6.00299607,67.27398640000001,grapes,black soil
38,135,203,41.36106301,82.79782954,6.444373116,69.92107482,grapes,black soil
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes,black soil
37,124,195,18.70679077,83.4795292,6.209928251,66.5964488,grapes,black soil
