N,P,K,temperature,humidity,ph,rainfall,label,soil_type
67,60,38,24.79853023,78.53037059,7.16214284,162.2847429,jute,alluvial soil
89,41,38,23.12844351,74.68322732,6.344751947000001,199.83629130000003,jute,alluvial soil
81,56,36,23.39605743,72.60512854,7.097586415,174.78764109999997,jute,alluvial soil
74,40,40,25.13842773,83.12053888,6.386259977999999,169.33884650000005,jute,alluvial soil
71,52,43,26.47549543,73.96164569,6.732826127,180.2513601,jute,alluvial soil
89,52,42,23.09433785,81.45139295,6.14132902,196.6587013,jute,alluvial soil
91,41,37,24.48556447,83.20630007,6.132570522999999,192.2316221,jute,alluvial soil
61,41,35,24.97178693,79.47557931,6.842966478999998,195.7571622,jute,alluvial soil
63,41,45,25.29781791,86.88705350000002,7.121933578999999,196.6249511,jute,alluvial soil
89,58,35,23.98651719,82.09053379,6.096838784,167.0576456,jute,alluvial soil
