N,P,K,temperature,humidity,ph,rainfall,label,soil_type
20,69,15,23.44260668,22.77255917,5.934136378,107.4137246,kidneybeans,loamy soil
27,64,15,20.16080524,24.84207559,5.514927264,138.2362122,kidneybeans,loamy soil
23,62,19,16.51783455,20.4555596,5.609435127999999,98.77794225,kidneybeans,loamy soil
19,78,16,20.65375833,23.10538637,5.967533236,67.71768947,kidneybeans,loamy soil
40,78,20,19.18572809,20.83398341,5.669236258,80.15293435,kidneybeans,loamy soil
3,77,25,24.84906168,22.89464642,5.608165195,62.21292186,kidneybeans,loamy soil
31,79,25,23.18864385,22.3104551,5.902033406,63.38208822,kidneybeans,loamy soil
19,65,25,18.09551014,18.29318436,5.6250964460000015,144.7902323,kidneybeans,loamy soil
7,56,18,18.31357543,24.32991649,5.698371311,76.14153904,kidneybeans,loamy soil
17,64,17,21.02213209,24.93896255,5.662699104,124.6118471,kidneybeans,loamy soil
