N,P,K,temperature,humidity,ph,rainfall,label,soil_type
1,67,21,27.52135365,60.53657684,6.551577598,48.06491307,lentil,sandy loam
28,58,25,27.4818649,62.04814951,6.861640036,37.81123974,lentil,sandy loam
3,69,23,28.67408774,63.18832976,7.299360767,42.96018627,lentil,sandy loam
40,61,22,20.94981756,65.8108757,7.002216044,44.23913012,lentil,sandy loam
37,62,22,24.02037872,61.62313345,7.397546271,49.78102578,lentil,sandy loam
4,80,16,29.19585548,68.01965728,7.441976825,44.93261911,lentil,sandy loam
32,56,18,20.0467711,65.84395319,7.135251532000001,46.05333124,lentil,sandy loam
10,75,17,18.43966037,68.05394959,7.732194787999999,39.00992137,lentil,sandy loam
13,74,25,24.12192608,61.09533545,6.461618577,44.23629285,lentil,sandy loam
7,63,24,19.55750776,64.45268309,6.818681086000002,53.04669416,lentil,sandy loam
