N,P,K,temperature,humidity,ph,rainfall,label,soil_type
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,loamy soil
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,loamy soil
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,loamy soil
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize,loamy soil
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,loamy soil
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,loamy soil
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,loamy soil
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,loamy soil
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,loamy soil
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,loamy soil
