N,P,K,temperature,humidity,ph,rainfall,label,soil_type
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,mango,red soil
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango,red soil
8,38,32,29.75150773,46.73723302,4.981816523,91.405983,mango,red soil
15,36,27,27.78912455,53.96886679,5.6437102160000014,91.01152997,mango,red soil
12,34,28,33.36140093,45.02236377,6.13526938,98.81596545,mango,red soil
20,30,27,27.81005614,51.59445462,4.74910393,95.89898581,mango,red soil
25,22,25,33.56150184,45.53556603,5.977413802999999,95.70525913,mango,red soil
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,mango,red soil
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,mango,red soil
9,21,32,32.26935342,53.56092806,5.870116071,95.94035356,mango,red soil
