N,P,K,temperature,humidity,ph,rainfall,label,soil_type
11,41,19,26.85911286,41.81420849,5.131779302,44.13827124,mothbeans,sandy soil
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,mothbeans,sandy soil
39,36,22,29.34317422,60.50320928,9.072011412,34.03335472,mothbeans,sandy soil
32,48,18,26.45707778,56.40226277,5.993513566,64.16167699,mothbeans,sandy soil
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,mothbeans,sandy soil
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans,sandy soil
12,39,21,28.99319096,62.85948245,8.183844843,70.4713043,mothbeans,sandy soil
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans,sandy soil
36,58,25,28.66024187,59.3189118,8.399135957999999,36.92629678,mothbeans,sandy soil
11,40,23,29.61253065,63.04749127,5.80428611,50.1978269,mothbeans,sandy soil
