N,P,K,temperature,humidity,ph,rainfall,label,soil_type
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,mungbean,loamy soil
36,38,15,28.36363858,87.59810657,6.3206620120000006,57.99524359,mungbean,loamy soil
11,60,23,27.33684386,88.50229102,7.033012777000001,51.09802625,mungbean,loamy soil
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean,loamy soil
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655,mungbean,loamy soil
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean,loamy soil
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,mungbean,loamy soil
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean,loamy soil
32,57,22,28.6899851,87.50436797,6.769415887999999,44.56598352,mungbean,loamy soil
31,37,21,27.23924995,86.404241,6.713410626,37.31236904,mungbean,loamy soil
