N,P,K,temperature,humidity,ph,rainfall,label,soil_type
117,25,53,29.11858526,92.12543021,6.413927319,24.52020164,muskmelon,sandy soil
107,22,54,27.99611732,90.84660317,6.630301421,21.61893763,muskmelon,sandy soil
84,21,55,28.47090661,94.79453182,6.494251024,21.08484101,muskmelon,sandy soil
89,9,47,29.47156259,90.77069618,6.6683827660000015,28.75226067,muskmelon,sandy soil
120,25,50,28.05457761,94.81637388,6.327210469,21.84869328,muskmelon,sandy soil
106,10,49,27.72653142,92.00687531,6.350623739,20.21126747,muskmelon,sandy soil
108,26,52,28.82629037,94.26765349,6.201797639,26.23838511,muskmelon,sandy soil
111,5,47,28.03306461,91.47355778,6.2744528110000015,21.17924769,muskmelon,sandy soil
93,20,50,29.93061247,93.22980899,6.448792688999999,24.34814338,muskmelon,sandy soil
106,16,54,28.96017885,91.69532178,6.585872508,24.7458198,muskmelon,sandy soil
