N,P,K,temperature,humidity,ph,rainfall,label,soil_type
7,17,10,10.16431299,91.22320999,6.465913274,106.362551,orange,laterite soil
18,14,11,28.04799508,90.00621688,6.550814117000001,117.1311498,orange,laterite soil
15,14,8,10.01081312,90.22399223,6.22094286,119.3941064,orange,laterite soil
13,5,8,23.85340379,90.10522549,7.474710503,103.923226,orange,laterite soil
18,12,8,12.59093977,91.81668769,6.206053072,119.39167179999998,orange,laterite soil
20,8,12,25.2990432,94.96419851,7.260416405,117.9733424,orange,laterite soil
39,24,14,30.55472573,90.90343769,7.189259647,106.0711985,orange,laterite soil
34,29,8,31.87859192,91.15248149,6.450640306,105.3437825,orange,laterite soil
36,11,13,17.34083741,93.04897191,7.1917274,112.7194284,orange,laterite soil
32,25,9,10.35609594,93.75652041,7.796034006,101.1456947,orange,laterite soil
