N,P,K,temperature,humidity,ph,rainfall,label,soil_type
35,66,47,31.7018373,91.66232213,6.953439161,48.83810592,papaya,sandy loam
36,54,46,42.54744013,94.94482086,6.662875839,214.41038480000003,papaya,sandy loam
39,65,53,35.33294932,92.11508608,6.560743092999999,235.6133585,papaya,sandy loam
63,50,52,28.64555584,93.22642604,6.751747609,115.8163936,papaya,sandy loam
59,62,49,43.36051537,93.35191636,6.941496806,114.778071,papaya,sandy loam
31,48,45,40.78881819,92.90951393,6.563134737,132.7923586,papaya,sandy loam
67,68,49,35.26824831,92.38282957,6.821774589,149.8488208,papaya,sandy loam
69,60,54,36.32268069,93.06134398,6.98992719,141.1736926,papaya,sandy loam
53,55,55,33.32315744,91.25271223,6.709668804,234.496633,papaya,sandy loam
37,52,47,43.08022702,93.90305729,6.54277684,211.8529059,papaya,sandy loam
