N,P,K,temperature,humidity,ph,rainfall,label,soil_type
27,71,24,31.46417866,48.17631461,7.064973419,165.40535400000005,pigeonpeas,black soil
33,58,24,35.45790488,68.75810535,5.269504214,108.6333046,pigeonpeas,black soil
30,60,21,28.87667593,62.4901206,5.457871272999999,182.2688175,pigeonpeas,black soil
0,70,21,36.30049702,56.03021253,4.672437054,101.6073988,pigeonpeas,black soil
14,74,19,18.39759147,36.82639309,6.624966131,93.12330644,pigeonpeas,black soil
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,pigeonpeas,black soil
14,75,24,24.54757829,57.3414485,6.436160044,118.3606557,pigeonpeas,black soil
36,67,25,35.95176642,36.52780776,6.418062652000001,136.0456753,pigeonpeas,black soil
20,77,23,34.87248659,38.83786012,5.180271502,148.25027859999997,pigeonpeas,black soil
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas,black soil
