N,P,K,temperature,humidity,ph,rainfall,label,soil_type
18,21,35,23.2801227,94.94330457,6.368560522,111.1382096,pomegranate,sandy loam
10,5,42,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate,sandy loam
4,14,41,19.85139326,89.80732335,6.430163481,102.8186358,pomegranate,sandy loam
5,15,38,18.26233221,88.16779129,5.709380472,108.0756727,pomegranate,sandy loam
20,27,41,20.51343484,92.51675903,5.700088663,110.5764023,pomegranate,sandy loam
18,23,44,23.71028128,89.61794165,6.184400085,105.64999070000002,pomegranate,sandy loam
8,26,36,18.78359608,87.4024767,6.804781106,102.5184759,pomegranate,sandy loam
12,20,39,19.86173586,86.19740917,6.026999326,111.0217929,pomegranate,sandy loam
21,23,42,19.54128063,90.29751796,6.902751061,104.3739878,pomegranate,sandy loam
0,5,36,24.35193812,90.88612388,6.152906502,105.529185,pomegranate,sandy loam
