N,P,K,temperature,humidity,ph,rainfall,label,soil_type
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,alluvial soil
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,alluvial soil
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,alluvial soil
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,alluvial soil
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,alluvial soil
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,alluvial soil
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,alluvial soil
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,alluvial soil
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,alluvial soil
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,alluvial soil
