N,P,K,temperature,humidity,ph,rainfall,label,soil_type
118,15,45,24.21495706,84.20576992,6.538006356,48.01138482,watermelon,sandy loam
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon,sandy loam
82,25,51,24.31334971,87.47409052,6.074209622000001,48.11248366,watermelon,sandy loam
81,16,45,26.90435747,86.25426228,6.727468157000001,59.75980023,watermelon,sandy loam
91,7,52,25.07803672,83.46230461,6.405054243,56.39962921,watermelon,sandy loam
101,20,48,24.6774157,82.75411437,6.206247493999999,57.05709413,watermelon,sandy loam
92,21,48,25.81692236,82.043255,6.377427122,54.82963379,watermelon,sandy loam
86,6,53,25.92030221,83.47202566,6.921847887999999,42.10681516,watermelon,sandy loam
101,11,51,25.50736962,84.24340241,6.792035575,44.2068997,watermelon,sandy loam
84,25,52,24.37190239,81.2514818,6.12532356,44.20899581,watermelon,sandy loam
